"Green Township United States"
39.9,84.22,306,5,-30,1,1,"SYN"

78.3,105.2,144.3,204.6,235.9,255.9,245.5,232.1,179.8,143.5,80.7,64.4
-3.3,-0.5,4.3,10.2,15.3,21.3,22.8,20.9,18.5,11,5,-1.1
5.1,4.9,5.7,5.2,4,3.9,3.4,3.2,2.8,3.9,4.7,4.9
0	0	-12.2	3.1
0	0	-10.6	4.6
0	0	-10	4.1
0	0	-9.4	5.2
0	0	-9.4	5.7
0	0	-8.9	6.7
38	31	-8.3	6.2
184	51	-6.7	6.2
327	39	-5	6.7
437	55	-2.2	7.2
421	126	0	7.2
419	84	1.1	6.2
337	105	2.2	6.2
209	84	2.2	6.2
102	56	2.8	7.7
16	13	1.7	6.2
0	0	1.1	6.2
0	0	0.6	8.2
0	0	0	7.2
0	0	0	7.2
0	0	-0.6	7.2
0	0	0	7.7
0	0	0	7.2
0	0	0	5.2
0	0	0	6.7
0	0	1.1	6.7
0	0	1.7	7.7
0	0	1.7	6.7
0	0	1.7	7.7
0	0	2.2	8.2
23	23	2.2	9.8
56	55	2.8	10.8
118	115	3.9	10.3
270	165	5.6	10.8
314	232	6.7	11.8
172	166	6.7	10.3
120	117	6.1	9.3
90	90	6.1	8.2
46	46	5.6	9.8
7	7	5.6	8.2
0	0	4.4	7.2
0	0	4.4	6.7
0	0	5	9.3
0	0	4.4	9.8
0	0	3.9	7.7
0	0	4.4	7.7
0	0	0.6	7.2
0	0	-1.7	6.7
0	0	-5	10.3
0	0	-7.2	9.8
0	0	-7.2	7.7
0	0	-7.2	9.3
0	0	-7.8	7.7
0	0	-7.2	7.2
23	23	-7.2	5.7
66	66	-6.7	7.2
144	142	-5.6	7.7
189	189	-5	8.2
270	219	-4.4	7.2
250	181	-4.4	7.2
170	129	-5	5.7
126	113	-5	6.2
54	50	-5.6	6.2
14	13	-6.1	6.2
